state,government_function,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours,part_time_hours_coefficient_of_variation_as_percent,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_employees,total_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,year
GA,other government administration,4788,1.18,18092447,1.04,1808,1.88,1167882,1.53,49097,1.49,5066,1.19,6596,1,19260329,0.98,2010
GA,judicial and legal,8827,1.43,33950561,1.21,1647,2.02,1858235,1.61,94472,1.83,9365,1.54,10474,1.24,35808796,1.15,2010
GA,police protection total,25118,1.36,90956747,1.27,1420,1.12,1409597,1.29,95821,1.41,25664,1.36,26538,1.29,92366344,1.25,2010
GA,police protection - officers,20150,1.2,76128990,1.17,484,1.45,536182,1.59,36592,1.98,20358,1.21,20634,1.17,76665172,1.16,2010
GA,police protection - other,4968,2,14827757,1.82,936,0.95,873415,1.1,59229,1.05,5306,1.93,5904,1.69,15701172,1.72,2010
GA,fire protection total,12024,1.47,46879786,1.32,1052,2.37,698334,3.47,71728,2.64,12431,1.44,13076,1.37,47578120,1.3,2010
GA,fire protection - firefighters,11557,1.25,45209161,1.18,1025,2.39,672996,3.53,69868,2.66,11953,1.22,12582,1.17,45882157,1.16,2010
GA,fire protection - other,467,6.95,1670625,5.2,27,1.51,25338,1.96,1860,1.61,478,7.07,494,6.57,1695963,5.12,2010
GA,corrections,9700,2.05,29958077,1.85,476,1.88,559138,1.51,46936,1.75,9965,1.95,10176,1.95,30517215,1.81,2010
GA,highways,7550,1.98,22049748,1.77,311,1.43,286343,0.86,23636,0.99,7683,1.94,7861,1.91,22336091,1.75,2010
GA,air transportation,1024,0.5,4432029,0.5,75,5.09,84935,3.26,5131,6.06,1055,0.76,1099,0.58,4516964,0.49,2010
GA,water transport and terminals,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
GA,public welfare,1180,7.95,3177154,6.26,359,4.59,330792,3.96,28328,4.15,1341,9.05,1539,6.19,3507946,5.68,2010
GA,health,8796,2.92,25078763,2.76,2162,2.59,2308183,2.37,168558,2.96,9750,3.11,10958,2.4,27386946,2.53,2010
GA,hospitals,16540,0.95,62366138,0.88,3882,1.18,6525328,0.95,306223,1,18287,0.89,20422,0.8,68891466,0.8,2010
GA,social insurance administration,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
GA,solid waste management,4404,1.13,11745319,0.96,708,2.28,552871,2.19,60681,2.56,4747,1.31,5112,1.02,12298190,0.92,2010
GA,sewerage,3583,2.08,12114016,2.14,17,0.57,16303,0.35,1297,0.41,3590,2.08,3600,2.07,12130319,2.14,2010
GA,parks and recreation,4206,1.47,12799466,1.36,3961,2.39,2793041,1.61,240621,2.25,5573,1.8,8167,1.39,15592507,1.15,2010
GA,housing and community development,2794,2.6,9566049,2.41,113,0.9,115760,0.81,9314,0.89,2848,2.61,2907,2.5,9681809,2.38,2010
GA,natural resources,226,2.31,576683,1.84,193,2.81,166349,2.91,14936,4.05,311,2.66,419,1.8,743032,1.57,2010
GA,water transport and terminals,5296,1.29,17868622,1.51,54,0.09,86823,0.14,5070,0.08,5325,1.29,5350,1.28,17955445,1.5,2010
GA,electric power,1110,1.43,4379475,1.57,9,0.91,14389,0.57,584,1.2,1113,1.44,1119,1.42,4393864,1.57,2010
GA,gas supply,575,5.05,1814944,4.86,1,0.01,1250,0.01,144,0.01,576,5.05,576,5.05,1816194,4.86,2010
GA,transit,5539,0.95,21695239,0.67,487,2.62,597343,1.42,45080,1.31,5797,1.06,6026,0.89,22292582,0.65,2010
GA,education total,232464,0.29,794101130,0.29,37523,0.5,38087934,0.43,2184090,0.39,244947,0.29,269987,0.26,832189064,0.28,2010
GA,education - elementary and secondary total,232464,0.29,794101130,0.29,37523,0.5,38087934,0.43,2184090,0.39,244947,0.29,269987,0.26,832189064,0.28,2010
GA,education - elementary and secondary instructional,163289,0.31,645208574,0.3,24230,0.59,24901231,0.57,1157559,0.56,169887,0.31,187519,0.28,670109805,0.29,2010
GA,education - elementary and secondary other,69175,0.24,148892556,0.26,13293,0.35,13186703,0.17,1026531,0.2,75060,0.23,82468,0.21,162079259,0.24,2010
GA,education - higher education total,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
GA,education - higher education instructional,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
GA,education - higher education other,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
GA,education - other,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
GA,libraries,2258,1.67,7239004,1.59,1226,2.59,869489,1.86,79381,2.36,2708,1.77,3484,1.41,8108493,1.44,2010
GA,liquor stores,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
GA,other and unallocable,6111,2.07,20120046,1.95,914,1.25,941745,1.44,63740,1.22,6492,2.02,7025,1.81,21061791,1.86,2010
HI,total,14792,0.01,74549316,0.01,1262,0.01,975019,0.01,63994,0.01,15153,0.01,16054,0,75524335,0,2010
HI,financial administration,844,0.01,3758124,0.01,8,0.01,18208,0.01,508,0.01,847,0.01,852,0,3776332,0,2010
HI,other government administration,970,0.01,4622738,0.01,33,0.01,57262,0.01,2228,0.01,983,0.01,1003,0,4680000,0,2010
HI,judicial and legal,566,0.01,2959136,0.01,9,0.01,15126,0.01,966,0.01,571,0.01,575,0,2974262,0,2010
HI,police protection total,3847,0.01,23877636,0.01,158,0.01,98186,0.01,8852,0.01,3897,0.01,4005,0,23975822,0,2010
HI,police protection - officers,2963,0.01,19983770,0.01,0,0.01,0,0.01,0,0.01,2963,0.01,2963,0,19983770,0,2010
HI,police protection - other,884,0.01,3893866,0.01,158,0.01,98186,0.01,8852,0.01,934,0.01,1042,0,3992052,0,2010
HI,fire protection total,1920,0.01,11166500,0.01,18,0.01,42060,0.01,2052,0.01,1932,0.01,1938,0,11208560,0,2010
HI,fire protection - firefighters,1774,0.01,10411932,0.01,0,0.01,0,0.01,0,0.01,1774,0.01,1774,0,10411932,0,2010
HI,fire protection - other,146,0.01,754568,0.01,18,0.01,42060,0.01,2052,0.01,158,0.01,164,0,796628,0,2010
HI,corrections,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
HI,highways,1057,0.01,4374296,0.01,16,0.01,36040,0.01,1450,0.01,1065,0.01,1073,0,4410336,0,2010
HI,air transportation,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
HI,water transport and terminals,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
HI,public welfare,159,0.01,520442,0.01,85,0.01,45808,0.01,4528,0.01,185,0.01,244,0,566250,0,2010
HI,health,268,0.01,1598682,0.01,33,0.01,51060,0.01,2234,0.01,281,0.01,301,0,1649742,0,2010
HI,hospitals,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
HI,social insurance administration,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
HI,solid waste management,610,0.01,2851512,0.01,0,0.01,0,0.01,0,0.01,610,0.01,610,0,2851512,0,2010
HI,sewerage,583,0.01,2653306,0.01,4,0.01,4956,0.01,286,0.01,585,0.01,587,0,2658262,0,2010
HI,parks and recreation,1785,0.01,6357126,0.01,785,0.01,445566,0.01,30846,0.01,1959,0.01,2570,0,6802692,0,2010
HI,housing and community development,287,0.01,1131068,0.01,20,0.01,26122,0.01,1290,0.01,294,0.01,307,0,1157190,0,2010
HI,natural resources,17,0.01,69052,0.01,13,0.01,14801,0.01,1038,0.01,22,0.01,30,0,83853,0,2010
HI,water transport and terminals,977,0.01,4565048,0.01,5,0.01,7600,0.01,160,0.01,978,0.01,982,0,4572648,0,2010
HI,electric power,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
HI,gas supply,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
HI,transit,55,0.01,194170,0.01,26,0.01,39874,0.01,4116,0.01,78,0.01,81,0,234044,0,2010
HI,education total,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
HI,education - elementary and secondary total,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
HI,education - elementary and secondary instructional,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
HI,education - elementary and secondary other,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
HI,education - higher education total,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
HI,education - higher education instructional,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
HI,education - higher education other,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
HI,education - other,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
HI,libraries,2,0.01,7978,0.01,0,0.01,0,0.01,0,0.01,2,0.01,2,0,7978,0,2010
HI,liquor stores,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
HI,other and unallocable,845,0.01,3842502,0.01,49,0.01,72350,0.01,3440,0.01,864,0.01,894,0,3914852,0,2010
ID,total,49516,1.24,165417780,1.19,21134,1.47,14100170,1.27,975500,1.67,55329,1.24,70650,0.98,179517950,1.1,2010
ID,financial administration,1348,3.5,4587302,2.78,129,1.42,120154,1.49,9241,1.93,1400,3.38,1477,3.2,4707456,2.71,2010
ID,other government administration,1048,2.5,3708800,1.98,772,3.53,490233,3.83,27731,2.81,1176,3,1820,2.08,4199033,1.8,2010
ID,judicial and legal,1510,2.74,5551527,2.25,121,1.73,158921,1.32,10240,1.68,1567,3.14,1631,2.54,5710448,2.19,2010
ID,police protection total,3763,2.91,15309361,2.27,265,3.78,239580,3.29,17172,4.1,3858,3.08,4028,2.73,15548941,2.23,2010
ID,police protection - officers,2700,3.19,11941130,2.42,94,4.25,93363,4.58,6982,6.08,2737,3.4,2794,3.09,12034493,2.41,2010
ID,police protection - other,1063,2.2,3368231,1.7,171,3.52,146217,2.47,10190,2.75,1121,2.3,1234,1.96,3514448,1.64,2010
ID,fire protection total,1170,0.82,6223479,0.66,1517,2.96,383068,4.3,30746,1.78,1343,1.17,2687,1.71,6606547,0.67,2010
ID,fire protection - firefighters,1086,0.86,5770726,0.7,1397,3.07,345884,4.45,27296,1.78,1240,1.19,2483,1.77,6116610,0.7,2010
ID,fire protection - other,84,0.33,452753,0.26,120,1.67,37184,2.89,3450,1.76,103,0.88,204,0.99,489937,0.33,2010
ID,corrections,1540,2.39,4586133,2.39,213,3.96,202621,3.28,14805,3.67,1624,2.22,1753,2.15,4788754,2.3,2010
ID,highways,1563,3.45,5217754,3.08,266,4.16,185244,1.33,11080,1.24,1625,3.31,1829,3.01,5402998,2.97,2010
ID,air transportation,142,0.01,461135,0.01,19,0.01,15202,0.01,1311,0.01,150,0.01,161,0,476337,0,2010
ID,water transport and terminals,8,0.01,30315,0.01,7,0.01,8806,0.01,579,0.01,11,0.01,15,0,39121,0,2010
ID,public welfare,139,5.13,320154,4.55,43,9.55,38068,8.54,3197,9.42,158,7.43,182,4.52,358222,4.16,2010
ID,health,767,0.12,2792920,0.11,364,7.17,378187,3.02,22501,4.04,894,0.87,1131,2.31,3171107,0.37,2010
ID,hospitals,2963,1.55,11655353,2.18,1429,3.47,2933399,2.14,129087,3.24,3722,1.64,4392,1.54,14588752,1.79,2010
ID,social insurance administration,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
ID,solid waste management,444,2.93,1337237,2.68,66,2.75,53499,2.66,4235,2.94,469,3.11,510,2.58,1390736,2.58,2010
ID,sewerage,586,2.05,2099397,1.94,178,3.46,95152,5.43,5728,4.8,614,1.86,764,1.77,2194549,1.87,2010
ID,parks and recreation,544,1.76,1942949,1.74,760,1.26,402498,1.46,37025,1.48,753,2.38,1304,1.04,2345447,1.47,2010
ID,housing and community development,130,0.25,485003,0.26,32,2.05,40772,2.82,2345,3.78,143,0.24,162,0.45,525775,0.32,2010
ID,natural resources,394,5.09,1286698,4.23,142,0.7,155714,1.08,11594,1.03,464,4.29,536,3.75,1442412,3.78,2010
ID,water transport and terminals,501,2.84,1792298,2.64,95,3.1,31052,2.21,1641,1.94,510,2.97,596,2.44,1823350,2.59,2010
ID,electric power,102,7.54,599560,7.04,5,0.01,1886,0.01,79,0.01,102,7.54,107,7.18,601446,7.02,2010
ID,gas supply,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
ID,transit,41,0.01,133604,0.01,66,0.01,63661,0.01,7981,0.01,86,0.01,107,0,197265,0,2010
ID,education total,29459,2.61,90844340,2.47,13758,3.02,7433066,2.97,567752,3.76,32969,2.62,43217,2.02,98277406,2.29,2010
ID,education - elementary and secondary total,27852,2.76,86031491,2.61,11939,3.48,6163751,3.58,517575,4.12,31065,2.78,39791,2.2,92195242,2.44,2010
ID,education - elementary and secondary instructional,21228,2.65,71894687,2.61,6734,3.7,3548400,4.02,285678,4.66,23011,2.68,27962,2.2,75443087,2.49,2010
ID,education - elementary and secondary other,6624,3.14,14136804,2.59,5205,3.19,2615351,2.99,231897,3.47,8054,3.09,11829,2.25,16752155,2.23,2010
ID,education - higher education total,1607,0.01,4812849,0.01,1819,0.01,1269315,0.01,50177,0.01,1904,0.01,3426,0,6082164,0,2010
ID,education - higher education instructional,482,0.01,2205764,0.01,842,0.01,893317,0.01,19216,0.01,590,0.01,1324,0,3099081,0,2010
ID,education - higher education other,1125,0.01,2607085,0.01,977,0.01,375998,0.01,30961,0.01,1314,0.01,2102,0,2983083,0,2010
ID,education - other,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
ID,libraries,385,4.46,1145029,4.15,637,5.17,486177,5.57,45733,4.65,644,4.85,1022,3.64,1631206,3.35,2010
ID,liquor stores,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
ID,other and unallocable,969,3.05,3307432,2.63,250,2.05,183210,1.55,13697,1.77,1047,3.22,1219,2.46,3490642,2.49,2010
IL,total,455371,0.87,2147631804,0.9,171342,0.64,145535188,0.71,8974212,0.74,513418,0.81,626713,0.65,2293166992,0.84,2010
IL,financial administration,7310,0.76,33378879,0.6,2531,1.13,2695999,0.72,156767,0.72,7977,0.79,9841,0.63,36074878,0.56,2010
IL,other government administration,7560,0.77,33034459,0.67,12820,0.98,6162599,1.07,307982,0.98,9426,0.85,20380,0.68,39197058,0.59,2010
IL,judicial and legal,13480,0.6,59057738,0.5,751,1.44,682429,1.92,59218,2.2,13852,0.68,14231,0.57,59740167,0.49,2010
IL,police protection total,38299,0.97,220295805,0.86,6806,1.2,5108770,1.16,332510,1.35,40439,0.93,45105,0.84,225404575,0.84,2010
IL,police protection - officers,31070,0.92,191733708,0.83,3129,0.71,1955210,0.92,137324,1.17,32021,0.85,34199,0.84,193688918,0.82,2010
IL,police protection - other,7229,1.18,28562097,1.02,3677,1.61,3153560,1.31,195186,1.47,8418,1.23,10906,0.95,31715657,0.93,2010
IL,fire protection total,15145,1.2,96162401,1.13,11391,0.61,5307734,1.89,360841,1.7,17608,1.49,26536,0.73,101470135,1.07,2010
IL,fire protection - firefighters,12956,1.28,81574237,1.21,11155,0.55,5122238,1.84,350773,1.65,15358,1.58,24111,0.74,86696475,1.14,2010
IL,fire protection - other,2189,0.7,14588164,0.69,236,3.25,185496,3.32,10068,3.44,2250,0.88,2425,0.7,14773660,0.68,2010
IL,corrections,10375,0.73,45523992,0.55,309,4.39,354338,4.64,17184,4.02,10506,0.75,10684,0.72,45878330,0.55,2010
IL,highways,10854,0.83,49882885,0.71,3158,0.61,2245181,0.73,183137,0.7,12115,0.78,14012,0.66,52128066,0.68,2010
IL,air transportation,1686,0.02,9404802,0.04,116,1.74,229905,0.96,22334,0.98,1732,0.12,1802,0.11,9634707,0.05,2010
IL,water transport and terminals,62,0.01,246548,0.01,26,0.01,13784,0.01,1391,0.01,75,0.01,88,0,260332,0,2010
IL,public welfare,5159,1.62,15514219,1.16,1630,1.67,1467565,1.83,100634,2.15,5932,2.26,6789,1.3,16981784,1.07,2010
IL,health,6163,1.81,23693814,1.42,1614,2.63,1853607,3.08,77080,4.14,6730,1.89,7777,1.53,25547421,1.33,2010
IL,hospitals,10338,0.74,55767145,0.49,1639,5.77,2813971,5.5,152136,4.85,11263,0.85,11977,1.01,58581116,0.54,2010
IL,social insurance administration,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
IL,solid waste management,3221,0.87,17122609,0.62,123,1.8,120176,1.89,11026,2.12,3287,1.03,3344,0.84,17242785,0.62,2010
IL,sewerage,5064,1.8,29958859,1.7,87,0.77,116964,0.7,8207,0.7,5114,1.84,5151,1.77,30075823,1.69,2010
IL,parks and recreation,10301,1.58,41685177,1.72,25613,2.6,19079341,2.37,1184504,3.29,18507,2.17,35914,1.91,60764518,1.4,2010
IL,housing and community development,3364,3.29,14730330,3.13,262,2.15,263350,1.76,20950,1.93,3492,3.21,3626,3.05,14993680,3.08,2010
IL,natural resources,1832,0.95,8431123,0.84,314,0.43,234616,0.15,17353,0.22,1938,0.95,2146,0.81,8665739,0.81,2010
IL,water transport and terminals,5551,0.97,29881270,0.7,677,1,473285,1.38,34768,1.47,5788,1,6228,0.87,30354555,0.69,2010
IL,electric power,1070,1.16,7240576,1.01,17,0.54,24423,0.36,976,0.56,1076,1.16,1087,1.14,7264999,1,2010
IL,gas supply,114,3.06,497424,3.71,21,0.01,9445,0.01,891,0.01,122,2.86,135,2.59,506869,3.64,2010
IL,transit,14644,0.78,71704281,0.67,1420,1.01,3597367,0.6,152172,1.07,15566,0.97,16064,0.72,75301648,0.64,2010
IL,education total,270926,1.91,1226602672,1.93,87709,1.59,82569384,1.78,4998961,1.66,303455,1.81,358635,1.49,1309172056,1.82,2010
IL,education - elementary and secondary total,254623,1.97,1148378813,2,57919,2.01,55188855,2.22,3595724,1.99,277880,1.91,312542,1.64,1203567668,1.92,2010
IL,education - elementary and secondary instructional,186008,1.98,933234180,2,31735,1.96,31338412,2.24,2025414,1.8,199122,1.92,217743,1.71,964572592,1.94,2010
IL,education - elementary and secondary other,68615,1.94,215144633,2.02,26184,2.08,23850443,2.19,1570310,2.25,78758,1.88,94799,1.51,238995076,1.83,2010
IL,education - higher education total,16303,1.01,78223859,0.91,29790,0.78,27380529,0.9,1403237,0.82,25575,0.74,46093,0.62,105604388,0.71,2010
IL,education - higher education instructional,5449,1.1,34878375,1.02,15494,0.79,16896036,1.04,644845,0.65,9398,0.88,20943,0.65,51774411,0.77,2010
IL,education - higher education other,10854,0.96,43345484,0.82,14296,0.77,10484493,0.66,758392,0.97,16177,0.67,25150,0.6,53829977,0.67,2010
IL,education - other,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
IL,libraries,5573,1.21,21429102,1.2,10452,1.05,8754828,1.42,674656,1.18,9457,1.23,16025,0.8,30183930,0.95,2010
IL,liquor stores,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
IL,other and unallocable,7280,0.74,36385694,0.6,1856,1.93,1356127,3.2,98534,3.41,7961,0.94,9136,0.71,37741821,0.59,2010
IN,total,227361,0.5,806530101,0.51,66905,0.68,69248163,1.43,4476954,1.18,254301,0.5,294266,0.41,875778264,0.48,2010
IN,financial administration,3682,0.99,10672715,0.93,1323,0.44,1261542,0.79,87119,0.62,4203,1,5005,0.74,11934257,0.84,2010
IN,other government administration,5405,0.67,15131106,0.7,4830,0.29,2078936,0.81,149606,0.58,6265,0.72,10235,0.38,17210042,0.62,2010
IN,judicial and legal,5780,1.44,18010785,1.24,965,0.92,1070500,1.09,69586,1.03,6193,1.69,6745,1.24,19081285,1.17,2010
IN,police protection total,14313,0.98,55527459,0.78,1938,1.04,1263813,1.42,95169,1.58,14873,1.07,16251,0.87,56791272,0.77,2010
IN,police protection - officers,10932,0.61,45735260,0.51,581,0.66,398526,0.63,24867,0.48,11075,0.64,11513,0.58,46133786,0.51,2010
IN,police protection - other,3381,2.18,9792199,2.04,1357,1.21,865287,1.79,70302,1.97,3798,2.32,4738,1.59,10657486,1.88,2010
IN,fire protection total,7491,0.44,32122524,0.41,1800,4.21,1192200,4.6,42184,10.58,7737,0.85,9291,0.89,33314724,0.43,2010
IN,fire protection - firefighters,7117,0.46,30953204,0.42,1738,4.03,1159008,4.6,39605,10.92,7348,0.88,8855,0.87,32112212,0.44,2010
IN,fire protection - other,374,0.23,1169320,0.23,62,9.33,33192,4.83,2579,5.39,389,0.39,436,1.34,1202512,0.26,2010
IN,corrections,5734,1.84,16916130,1.78,648,1.9,625200,2.03,54366,1.93,6061,1.76,6382,1.67,17541330,1.72,2010
IN,highways,5131,1.45,16078892,1.38,339,0.53,265430,0.67,20942,0.24,5254,1.49,5470,1.36,16344322,1.36,2010
IN,air transportation,275,0.49,1105864,0.38,94,1.33,68449,0.96,5789,1.35,310,0.44,369,0.5,1174313,0.36,2010
IN,water transport and terminals,9,0.01,35307,0.01,5,0.01,986,0.01,93,0.01,10,0.01,14,0,36293,0,2010
IN,public welfare,837,1.19,2032736,1.07,163,4.76,150901,5.64,13148,5.56,918,1.98,1000,1.26,2183637,1.07,2010
IN,health,2671,1.65,8533783,1.57,737,3.08,807548,2.54,51535,2.89,2977,1.9,3408,1.45,9341331,1.45,2010
IN,hospitals,20077,1.8,84934386,2.06,7541,4.73,17803161,5.24,858302,5.54,25235,2.04,27618,1.84,102737547,1.93,2010
IN,social insurance administration,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
IN,solid waste management,1016,1.15,2945608,1.3,363,2.94,258715,3.08,26161,3.07,1174,1.31,1379,1.15,3204323,1.22,2010
IN,sewerage,3093,0.89,10857379,0.96,62,0.19,60534,0.2,5199,0.22,3123,0.89,3155,0.88,10917913,0.95,2010
IN,parks and recreation,2403,1.67,7229661,1.38,3449,0.87,2005516,1.02,178443,1.43,3436,1.84,5852,0.86,9235177,1.1,2010
IN,housing and community development,1159,4.54,4242664,4.14,154,5.05,165662,5.1,10013,4.26,1216,5.01,1313,4.05,4408326,3.99,2010
IN,natural resources,528,1.79,1498746,1.77,102,3.47,65841,3.48,6112,3.51,565,2.1,630,1.6,1564587,1.7,2010
IN,water transport and terminals,1798,1.34,6281639,1.22,270,0.55,214769,0.93,15764,0.42,1883,1.33,2068,1.17,6496408,1.18,2010
IN,electric power,3381,0.32,22774076,0.18,232,1.32,223336,1.16,16525,0.28,3476,0.34,3613,0.32,22997412,0.18,2010
IN,gas supply,718,0.01,3789252,0,87,0.01,328296,0.01,14600,0.01,800,0.01,805,0,4117548,0,2010
IN,transit,1588,0.01,5616563,0.01,217,0.01,295012,0.01,20985,0.01,1710,0.01,1805,0,5911575,0,2010
IN,education total,133901,1.08,461159153,0.98,36913,0.94,35370794,1.25,2393817,1.25,148499,1.06,170814,0.87,496529947,0.92,2010
IN,education - elementary and secondary total,133901,1.08,461159153,0.98,36913,0.94,35370794,1.25,2393817,1.25,148499,1.06,170814,0.87,496529947,0.92,2010
IN,education - elementary and secondary instructional,87517,1.01,360394033,0.97,15257,0.84,14452577,1.14,954077,1.22,93398,1.01,102774,0.87,374846610,0.94,2010
IN,education - elementary and secondary other,46384,1.22,100765120,1.03,21656,1.02,20918217,1.32,1439740,1.26,55101,1.16,68040,0.89,121683337,0.88,2010
IN,education - higher education total,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
IN,education - higher education instructional,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
IN,education - higher education other,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
IN,education - other,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
IN,libraries,3370,2.27,9593443,2.3,3556,2.01,2779980,2.4,264942,2.1,4929,2.19,6926,1.51,12373423,1.86,2010
IN,liquor stores,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
IN,other and unallocable,3001,1.52,9440230,1.63,1117,1.4,891042,1.59,76554,1.58,3454,1.77,4118,1.17,10331272,1.49,2010
IA,total,105395,1.23,403809188,1.34,54547,1.2,44777885,1.42,3168982,1.48,123546,1.22,159942,0.91,448587073,1.22,2010
IA,financial administration,2777,1.9,10575230,1.63,552,1.83,435941,1.05,31016,1.2,2949,1.75,3329,1.61,11011171,1.56,2010
IA,other government administration,1926,1.13,7426478,0.95,4472,1.29,1185529,2.84,75183,1.51,2341,0.99,6398,0.97,8612007,0.91,2010
IA,judicial and legal,791,1.77,3946319,1.79,108,2.33,172472,2.42,9077,2.56,842,2.02,899,1.59,4118791,1.72,2010
IA,police protection total,5917,1.58,25968872,1.3,991,1.25,755860,1.35,51824,1.47,6206,1.61,6908,1.36,26724732,1.26,2010
IA,police protection - officers,4589,1.21,21415870,1.03,419,1.02,237305,0.78,16973,0.8,4685,1.2,5008,1.11,21653175,1.02,2010
IA,police protection - other,1328,2.85,4553002,2.53,572,1.41,518555,1.62,34851,1.79,1521,2.85,1900,2.04,5071557,2.27,2010
IA,fire protection total,1749,0.24,8699707,0.17,1722,3.02,455404,1.23,30226,1,1916,0.44,3471,1.5,9155111,0.18,2010
IA,fire protection - firefighters,1684,0.23,8432834,0.17,1700,3.02,430722,1.19,28638,0.92,1842,0.45,3384,1.52,8863556,0.17,2010
IA,fire protection - other,65,0.5,266873,0.4,22,3.29,24682,1.79,1588,2.39,74,0.12,87,0.91,291555,0.4,2010
IA,corrections,1399,2.17,5105972,1.9,263,3.65,329877,4.47,21686,4.23,1525,2.29,1662,1.92,5435849,1.81,2010
IA,highways,5226,1.62,19981166,1.52,356,2.48,269040,3.5,19140,1.95,5323,1.6,5582,1.53,20250206,1.5,2010
IA,air transportation,169,0.3,765534,0.12,33,1.55,32981,1.52,2336,1.06,182,0.78,202,0.36,798515,0.13,2010
IA,water transport and terminals,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
IA,public welfare,886,2.52,2859618,1.97,566,7.58,505122,12.48,45451,9.85,1143,5.57,1452,3.33,3364740,2.51,2010
IA,health,1658,3.89,5767529,3.49,1318,6.16,887924,2.92,62338,2.99,2012,4.17,2976,3.49,6655453,3.05,2010
IA,hospitals,9368,1.09,35791086,1.24,3390,2.52,5940511,3.06,345539,2.68,11339,0.98,12758,1.04,41731597,1.15,2010
IA,social insurance administration,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
IA,solid waste management,620,1.46,2209394,1.16,200,2.03,136923,1.64,12066,1.53,690,1.76,820,1.21,2346317,1.09,2010
IA,sewerage,1380,0.47,5452445,0.42,186,0.94,82176,0.9,4441,0.7,1405,0.46,1566,0.43,5534621,0.42,2010
IA,parks and recreation,1420,1.21,5296742,1.07,2769,1.73,1129530,1.03,112812,1.19,2058,1.24,4189,1.21,6426272,0.9,2010
