state,government_function,year,full_time_employees,full_time_pay,part_time_employees,part_time_pay,part_time_hours,full_time_equivalent_employees,total_march_pay,equivalent_employees,march_pay,total_employees,october_total_pay,total_october_pay,total_march_full_time_and_part_time_employees
VT,water transport and terminals,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VT,electric power,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VT,gas supply,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VT,transit,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VT,elem and sec instruction,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VT,elem and sec admin/cler,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VT,elem and sec oper/maint,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VT,elem and sec cafeteria,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VT,elem and sec bus transit,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VT,elem and sec health/rec,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VT,elem and sec student,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VT,elem and sec unalloc,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VT,higher ed - instructional,2000,1229,6412589,415,571778,23554,1371,6984367,NA,NA,NA,NA,NA,NA
VT,education - higher education other,2000,3147,7571961,1507,685825,66902,3550,8257786,NA,NA,NA,NA,NA,NA
VT,education - other,2000,454,1443426,32,41785,2989,472,1485211,NA,NA,NA,NA,NA,NA
VT,libraries,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VT,liquor stores,2000,54,178947,1,968,100,55,179915,NA,NA,NA,NA,NA,NA
VT,other and unallocable,2000,974,2994113,67,84726,5750,1006,3078839,NA,NA,NA,NA,NA,NA
VA,total,2000,101169,326695709,46293,40832987,3077651,118588,367528696,NA,NA,NA,NA,NA,NA
VA,financial administration,2000,3716,12085102,713,693963,75379,4142,12779065,NA,NA,NA,NA,NA,NA
VA,other government administration,2000,519,1968877,624,1000446,72610,951,2969323,NA,NA,NA,NA,NA,NA
VA,judicial and legal,2000,3227,12625117,492,536157,33878,3419,13161274,NA,NA,NA,NA,NA,NA
VA,police arrest,2000,1793,7427478,0,0,0,1793,7427478,NA,NA,NA,NA,NA,NA
VA,police other,2000,719,1918336,190,184726,16120,810,2103062,NA,NA,NA,NA,NA,NA
VA,corrections,2000,15440,36354453,601,599113,41296,15674,36953566,NA,NA,NA,NA,NA,NA
VA,streets and highways,2000,10217,29306546,721,432481,38546,10435,29739027,NA,NA,NA,NA,NA,NA
VA,air transportation,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VA,water transportation,2000,139,474032,3,3238,346,141,477270,NA,NA,NA,NA,NA,NA
VA,public welfare,2000,1954,5955230,248,358472,17794,2054,6313702,NA,NA,NA,NA,NA,NA
VA,health,2000,4769,15365908,713,897854,69306,5161,16263762,NA,NA,NA,NA,NA,NA
VA,hospitals,2000,12644,34840590,1440,2061606,123212,13342,36902196,NA,NA,NA,NA,NA,NA
VA,social insurance administration,2000,1144,3542596,416,508871,44682,1397,4051467,NA,NA,NA,NA,NA,NA
VA,solid waste management,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VA,sewage disposal,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VA,parks and recreation,2000,606,1624400,797,446756,51981,900,2071156,NA,NA,NA,NA,NA,NA
VA,housing and community development,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VA,natural resources,2000,2827,9873072,602,519034,48549,3103,10392106,NA,NA,NA,NA,NA,NA
VA,water transport and terminals,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VA,electric power,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VA,gas supply,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VA,transit,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VA,elem and sec instruction,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VA,elem and sec admin/cler,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VA,elem and sec oper/maint,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VA,elem and sec cafeteria,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VA,elem and sec bus transit,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VA,elem and sec health/rec,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VA,elem and sec student,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VA,elem and sec unalloc,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VA,higher ed - instructional,2000,12702,69452998,12229,16230700,791465,17177,85683698,NA,NA,NA,NA,NA,NA
VA,education - higher education other,2000,22134,61496599,24366,14188734,1446163,30305,75685333,NA,NA,NA,NA,NA,NA
VA,education - other,2000,2571,8388482,660,687884,65710,2943,9076366,NA,NA,NA,NA,NA,NA
VA,libraries,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
VA,liquor stores,2000,668,1650042,808,736786,82612,1135,2386828,NA,NA,NA,NA,NA,NA
VA,other and unallocable,2000,3380,12345851,670,746166,58002,3706,13092017,NA,NA,NA,NA,NA,NA
WA,total,2000,90893,322780762,54240,50361011,3814509,112476,373141773,NA,NA,NA,NA,NA,NA
WA,financial administration,2000,2463,8828239,218,418683,24844,2602,9246922,NA,NA,NA,NA,NA,NA
WA,other government administration,2000,1357,4317698,277,239064,24182,1494,4556762,NA,NA,NA,NA,NA,NA
WA,judicial and legal,2000,1605,7261702,219,308478,15840,1695,7570180,NA,NA,NA,NA,NA,NA
WA,police arrest,2000,1004,4425968,0,0,0,1004,4425968,NA,NA,NA,NA,NA,NA
WA,police other,2000,1216,3902522,0,0,0,1216,3902522,NA,NA,NA,NA,NA,NA
WA,corrections,2000,6737,22724608,2068,3215020,237442,8078,25939628,NA,NA,NA,NA,NA,NA
WA,streets and highways,2000,6350,24787114,429,817988,37642,6563,25605102,NA,NA,NA,NA,NA,NA
WA,air transportation,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WA,water transportation,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WA,public welfare,2000,5256,17342102,542,876680,45062,5539,18218782,NA,NA,NA,NA,NA,NA
WA,health,2000,5312,16728277,789,1385418,72755,5724,18113695,NA,NA,NA,NA,NA,NA
WA,hospitals,2000,7524,26086200,2557,5605738,205950,8688,31691938,NA,NA,NA,NA,NA,NA
WA,social insurance administration,2000,6928,22447342,846,983986,76762,7362,23431328,NA,NA,NA,NA,NA,NA
WA,solid waste management,2000,145,547321,14,47202,2352,158,594523,NA,NA,NA,NA,NA,NA
WA,sewage disposal,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WA,parks and recreation,2000,513,1654370,138,174968,17300,611,1829338,NA,NA,NA,NA,NA,NA
WA,housing and community development,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WA,natural resources,2000,4781,16706697,1203,1505757,116580,5439,18212454,NA,NA,NA,NA,NA,NA
WA,water transport and terminals,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WA,electric power,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WA,gas supply,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WA,transit,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WA,elem and sec instruction,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WA,elem and sec admin/cler,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WA,elem and sec oper/maint,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WA,elem and sec cafeteria,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WA,elem and sec bus transit,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WA,elem and sec health/rec,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WA,elem and sec student,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WA,elem and sec unalloc,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WA,higher ed - instructional,2000,10387,49435560,11238,15014670,650575,14062,64450230,NA,NA,NA,NA,NA,NA
WA,education - higher education other,2000,20497,66336562,29419,15759540,2030715,31972,82096102,NA,NA,NA,NA,NA,NA
WA,education - other,2000,3163,10740870,3397,2694983,160453,4073,13435853,NA,NA,NA,NA,NA,NA
WA,libraries,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WA,liquor stores,2000,492,1426508,469,682912,55432,805,2109420,NA,NA,NA,NA,NA,NA
WA,other and unallocable,2000,5163,17081102,417,629924,40623,5391,17711026,NA,NA,NA,NA,NA,NA
WV,total,2000,29116,78445934,9253,6392536,492253,32034,84838470,NA,NA,NA,NA,NA,NA
WV,financial administration,2000,2022,4370884,38,22658,2374,2036,4393542,NA,NA,NA,NA,NA,NA
WV,other government administration,2000,269,748831,301,865619,28919,453,1614450,NA,NA,NA,NA,NA,NA
WV,judicial and legal,2000,1229,3554393,29,23382,2460,1244,3577775,NA,NA,NA,NA,NA,NA
WV,police arrest,2000,679,2239276,0,0,0,679,2239276,NA,NA,NA,NA,NA,NA
WV,police other,2000,382,661106,12,8416,1018,388,669522,NA,NA,NA,NA,NA,NA
WV,corrections,2000,1263,2533722,4,5802,417,1266,2539524,NA,NA,NA,NA,NA,NA
WV,streets and highways,2000,5031,12384661,28,55268,4973,5059,12439929,NA,NA,NA,NA,NA,NA
WV,air transportation,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WV,water transportation,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WV,public welfare,2000,78,120788,0,0,0,78,120788,NA,NA,NA,NA,NA,NA
WV,health,2000,757,1811878,22,20646,1056,763,1832524,NA,NA,NA,NA,NA,NA
WV,hospitals,2000,1611,2979690,79,73656,6696,1649,3053346,NA,NA,NA,NA,NA,NA
WV,social insurance administration,2000,795,1743430,0,0,0,795,1743430,NA,NA,NA,NA,NA,NA
WV,solid waste management,2000,12,31596,0,0,0,12,31596,NA,NA,NA,NA,NA,NA
WV,sewage disposal,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WV,parks and recreation,2000,427,727408,316,192628,33500,616,920036,NA,NA,NA,NA,NA,NA
WV,housing and community development,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WV,natural resources,2000,1881,5181610,202,127501,17763,1985,5309111,NA,NA,NA,NA,NA,NA
WV,water transport and terminals,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WV,electric power,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WV,gas supply,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WV,transit,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WV,elem and sec instruction,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WV,elem and sec admin/cler,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WV,elem and sec oper/maint,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WV,elem and sec cafeteria,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WV,elem and sec bus transit,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WV,elem and sec health/rec,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WV,elem and sec student,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WV,elem and sec unalloc,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WV,higher ed - instructional,2000,3014,13616856,4000,3036053,143796,3870,16652909,NA,NA,NA,NA,NA,NA
WV,education - higher education other,2000,6333,16713725,3975,1804052,236096,7732,18517777,NA,NA,NA,NA,NA,NA
WV,education - other,2000,1404,3831403,118,83216,4900,1434,3914619,NA,NA,NA,NA,NA,NA
WV,libraries,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WV,liquor stores,2000,59,122978,0,0,0,59,122978,NA,NA,NA,NA,NA,NA
WV,other and unallocable,2000,1870,5071699,129,73639,8285,1916,5145338,NA,NA,NA,NA,NA,NA
WI,total,2000,53120,197065590,24412,33504538,1872284,63697,230570128,NA,NA,NA,NA,NA,NA
WI,financial administration,2000,2536,8732825,633,902897,68147,2921,9635722,NA,NA,NA,NA,NA,NA
WI,other government administration,2000,755,2765895,345,595009,27221,909,3360904,NA,NA,NA,NA,NA,NA
WI,judicial and legal,2000,1832,9415881,329,723161,33002,2018,10139042,NA,NA,NA,NA,NA,NA
WI,police arrest,2000,606,2002377,0,0,0,606,2002377,NA,NA,NA,NA,NA,NA
WI,police other,2000,281,741611,36,34538,3027,298,776149,NA,NA,NA,NA,NA,NA
WI,corrections,2000,8817,25794938,918,1644230,99861,9381,27439168,NA,NA,NA,NA,NA,NA
WI,streets and highways,2000,1816,6400065,285,293749,22324,1942,6693814,NA,NA,NA,NA,NA,NA
WI,air transportation,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WI,water transportation,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WI,public welfare,2000,1177,3837498,322,492789,35466,1378,4330287,NA,NA,NA,NA,NA,NA
WI,health,2000,1659,6075442,589,960056,44109,1909,7035498,NA,NA,NA,NA,NA,NA
WI,hospitals,2000,3140,10012435,1448,2178356,129006,3867,12190791,NA,NA,NA,NA,NA,NA
WI,social insurance administration,2000,849,2632671,31,56873,3527,869,2689544,NA,NA,NA,NA,NA,NA
WI,solid waste management,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WI,sewage disposal,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WI,parks and recreation,2000,135,421256,135,147100,10404,194,568356,NA,NA,NA,NA,NA,NA
WI,housing and community development,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WI,natural resources,2000,2021,6807708,1416,1638306,143598,2832,8446014,NA,NA,NA,NA,NA,NA
WI,water transport and terminals,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WI,electric power,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WI,gas supply,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WI,transit,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WI,elem and sec instruction,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WI,elem and sec admin/cler,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WI,elem and sec oper/maint,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WI,elem and sec cafeteria,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WI,elem and sec bus transit,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WI,elem and sec health/rec,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WI,elem and sec student,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WI,elem and sec unalloc,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WI,higher ed - instructional,2000,7440,40168132,6647,9055864,508957,10315,49223996,NA,NA,NA,NA,NA,NA
WI,education - higher education other,2000,14084,49297748,9251,12016272,558512,17239,61314020,NA,NA,NA,NA,NA,NA
WI,education - other,2000,1009,3535277,339,463906,27573,1165,3999183,NA,NA,NA,NA,NA,NA
WI,libraries,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WI,liquor stores,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WI,other and unallocable,2000,4963,18423831,1688,2301432,157550,5854,20725263,NA,NA,NA,NA,NA,NA
WY,total,2000,10038,25989749,3665,2447046,207901,11204,28436795,NA,NA,NA,NA,NA,NA
WY,financial administration,2000,509,1291563,4,4544,347,511,1296107,NA,NA,NA,NA,NA,NA
WY,other government administration,2000,100,290417,192,250354,9225,152,540771,NA,NA,NA,NA,NA,NA
WY,judicial and legal,2000,374,1039858,20,24717,1734,383,1064575,NA,NA,NA,NA,NA,NA
WY,police arrest,2000,109,374096,0,0,0,109,374096,NA,NA,NA,NA,NA,NA
WY,police other,2000,81,227824,0,0,0,81,227824,NA,NA,NA,NA,NA,NA
WY,corrections,2000,801,1664565,5,3863,433,803,1668428,NA,NA,NA,NA,NA,NA
WY,streets and highways,2000,1685,4354174,104,104134,12622,1756,4458308,NA,NA,NA,NA,NA,NA
WY,air transportation,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WY,water transportation,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WY,public welfare,2000,742,1729768,91,121613,10147,799,1851381,NA,NA,NA,NA,NA,NA
WY,health,2000,489,1265638,92,169908,12719,560,1435546,NA,NA,NA,NA,NA,NA
WY,hospitals,2000,981,1858347,9,1462,152,982,1859809,NA,NA,NA,NA,NA,NA
WY,social insurance administration,2000,331,777778,33,27496,2860,347,805274,NA,NA,NA,NA,NA,NA
WY,solid waste management,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WY,sewage disposal,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WY,parks and recreation,2000,89,191480,4,2160,347,91,193640,NA,NA,NA,NA,NA,NA
WY,housing and community development,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WY,natural resources,2000,673,1892647,17,15011,1332,680,1907658,NA,NA,NA,NA,NA,NA
WY,water transport and terminals,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WY,electric power,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WY,gas supply,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WY,transit,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WY,elem and sec instruction,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WY,elem and sec admin/cler,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WY,elem and sec oper/maint,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WY,elem and sec cafeteria,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WY,elem and sec bus transit,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WY,elem and sec health/rec,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WY,elem and sec student,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WY,elem and sec unalloc,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WY,higher ed - instructional,2000,766,3382662,788,725132,45321,1022,4107794,NA,NA,NA,NA,NA,NA
WY,education - higher education other,2000,1479,3668309,2241,945231,105026,2072,4613540,NA,NA,NA,NA,NA,NA
WY,education - other,2000,168,417096,13,9801,1127,174,426897,NA,NA,NA,NA,NA,NA
WY,libraries,2000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
WY,liquor stores,2000,32,55831,0,0,0,32,55831,NA,NA,NA,NA,NA,NA
WY,other and unallocable,2000,629,1507696,52,41620,4509,650,1549316,NA,NA,NA,NA,NA,NA
US,total,2001,3636974,12805324526,1347640,1330927952,93825101,4173400,14136252478,NA,NA,NA,NA,NA,NA
US,financial administration,2001,157593,532091674,14384,19645660,1482268,166119,551737334,NA,NA,NA,NA,NA,NA
US,other government administration,2001,49643,175267100,12549,20478708,1134309,56177,195745808,NA,NA,NA,NA,NA,NA
US,judicial and legal,2001,153068,621212276,9914,17570810,996624,158794,638783086,NA,NA,NA,NA,NA,NA
US,police protection - officers,2001,62725,273215219,347,536343,22629,62856,273751562,NA,NA,NA,NA,NA,NA
US,police protection - other,2001,39251,130283649,2334,2541985,180907,40285,132825634,NA,NA,NA,NA,NA,NA
US,corrections,2001,459472,1442699835,13896,24951496,1572819,468405,1467651331,NA,NA,NA,NA,NA,NA
US,streets and highways,2001,243532,820533100,10578,17675938,1116866,249896,838209038,NA,NA,NA,NA,NA,NA
US,air transportation,2001,3062,12294594,202,303067,16391,3155,12597661,NA,NA,NA,NA,NA,NA
US,water transport and terminals,2001,4515,17282192,119,143783,9984,4568,17425975,NA,NA,NA,NA,NA,NA
US,public welfare,2001,232916,693146459,9548,15019971,1044080,238930,708166430,NA,NA,NA,NA,NA,NA
US,health,2001,165112,549924789,13658,21912399,1274265,172414,571837188,NA,NA,NA,NA,NA,NA
US,hospitals,2001,378491,1177628038,54926,98377113,5617312,410469,1276005151,NA,NA,NA,NA,NA,NA
US,social insurance administration,2001,81623,275067731,7753,13521574,906301,86843,288589305,NA,NA,NA,NA,NA,NA
US,solid waste management,2001,1773,7683733,108,267081,12094,1843,7950814,NA,NA,NA,NA,NA,NA
US,sewerage,2001,1431,5780519,51,153999,6178,1466,5934518,NA,NA,NA,NA,NA,NA
US,parks and recreation,2001,28223,79940758,13806,14374438,1368768,36051,94315196,NA,NA,NA,NA,NA,NA
US,housing and community development,2001,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
US,natural resources,2001,134360,450174812,34832,36985936,3281611,153023,487160748,NA,NA,NA,NA,NA,NA
US,water transport and terminals,2001,830,3203546,40,73490,4011,852,3277036,NA,NA,NA,NA,NA,NA
US,electric power,2001,3688,19337978,99,231914,14530,3769,19569892,NA,NA,NA,NA,NA,NA
US,gas supply,2001,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
US,transit,2001,28139,130962839,1524,1782198,150720,28990,132745037,NA,NA,NA,NA,NA,NA
US,education - elementary and secondary instructional,2001,33192,121464454,8649,5878314,358052,35381,127342768,NA,NA,NA,NA,NA,NA
US,education - elementary and secondary total,2001,10065,24632907,6128,2982778,260048,11733,27615685,NA,NA,NA,NA,NA,NA
US,education - higher education instructional,2001,348962,1909806348,351027,484756234,23915428,485778,2394562582,NA,NA,NA,NA,NA,NA
US,education - higher education other,2001,716922,2249298425,739307,480900533,45916324,979068,2730198958,NA,NA,NA,NA,NA,NA
US,education - other,2001,94810,319814174,19988,21143786,1377347,102732,340957960,NA,NA,NA,NA,NA,NA
US,libraries,2001,484,1182880,228,138036,17242,588,1320916,NA,NA,NA,NA,NA,NA
US,liquor stores,2001,5773,15336573,3034,2332373,244088,7182,17668946,NA,NA,NA,NA,NA,NA
US,other and unallocable,2001,197319,746057924,18611,26247995,1523905,206033,772305919,NA,NA,NA,NA,NA,NA
AL,total,2001,74000,231806135,25791,23276649,1795057,84308,255082784,NA,NA,NA,NA,NA,NA
AL,financial administration,2001,2541,7780515,54,40638,5947,2575,7821153,NA,NA,NA,NA,NA,NA
AL,other government administration,2001,555,1939806,88,78786,5399,587,2018592,NA,NA,NA,NA,NA,NA
AL,judicial and legal,2001,3380,11748701,148,177385,14168,3461,11926086,NA,NA,NA,NA,NA,NA
AL,police protection - officers,2001,719,2700234,0,0,0,719,2700234,NA,NA,NA,NA,NA,NA
AL,police protection - other,2001,606,1482534,26,15862,1392,614,1498396,NA,NA,NA,NA,NA,NA
AL,corrections,2001,4573,13907750,13,14278,1875,4584,13922028,NA,NA,NA,NA,NA,NA
AL,streets and highways,2001,3797,10264332,54,42e3,4782,3824,10306332,NA,NA,NA,NA,NA,NA
AL,air transportation,2001,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
AL,water transport and terminals,2001,426,1184745,2,1650,20,426,1186395,NA,NA,NA,NA,NA,NA
AL,public welfare,2001,3787,10248488,28,39064,2714,3802,10287552,NA,NA,NA,NA,NA,NA
AL,health,2001,4782,13198516,457,409046,55073,5094,13607562,NA,NA,NA,NA,NA,NA
AL,hospitals,2001,10280,29599086,1157,1700398,86771,10770,31299484,NA,NA,NA,NA,NA,NA
AL,social insurance administration,2001,1361,3567234,41,22747,3511,1381,3589981,NA,NA,NA,NA,NA,NA
AL,solid waste management,2001,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
AL,sewerage,2001,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
AL,parks and recreation,2001,408,892324,461,375975,28346,568,1268299,NA,NA,NA,NA,NA,NA
AL,housing and community development,2001,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
AL,natural resources,2001,2030,6166142,351,320419,49470,2309,6486561,NA,NA,NA,NA,NA,NA
AL,water transport and terminals,2001,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
AL,electric power,2001,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
AL,gas supply,2001,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
AL,transit,2001,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
AL,education - elementary and secondary instructional,2001,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
AL,education - elementary and secondary total,2001,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
AL,education - higher education instructional,2001,8903,43897843,7197,9800434,448097,11493,53698277,NA,NA,NA,NA,NA,NA
AL,education - higher education other,2001,20468,57102591,15091,9781198,1047542,26491,66883789,NA,NA,NA,NA,NA,NA
AL,education - other,2001,2703,8468239,130,95155,7689,2749,8563394,NA,NA,NA,NA,NA,NA
AL,libraries,2001,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
AL,liquor stores,2001,630,1350737,5,6531,620,634,1357268,NA,NA,NA,NA,NA,NA
AL,other and unallocable,2001,2051,6306318,488,355083,31641,2227,6661401,NA,NA,NA,NA,NA,NA
AK,total,2001,21839,84531914,5671,5045558,345400,23937,89577472,NA,NA,NA,NA,NA,NA
AK,financial administration,2001,939,3644236,24,36480,1930,952,3680716,NA,NA,NA,NA,NA,NA
AK,other government administration,2001,578,2070077,41,40930,2828,595,2111007,NA,NA,NA,NA,NA,NA
AK,judicial and legal,2001,1198,4938216,80,129683,5906,1234,5067899,NA,NA,NA,NA,NA,NA
AK,police protection - officers,2001,247,1458814,0,0,0,247,1458814,NA,NA,NA,NA,NA,NA
AK,police protection - other,2001,193,625458,77,23290,1903,204,648748,NA,NA,NA,NA,NA,NA
AK,corrections,2001,1655,6597625,25,37931,3156,1674,6635556,NA,NA,NA,NA,NA,NA
AK,streets and highways,2001,2833,11680672,26,31604,2538,2848,11712276,NA,NA,NA,NA,NA,NA
AK,air transportation,2001,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
AK,water transport and terminals,2001,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
AK,public welfare,2001,1626,5193328,157,187976,19440,1743,5381304,NA,NA,NA,NA,NA,NA
AK,health,2001,676,2603559,36,54438,3137,695,2657997,NA,NA,NA,NA,NA,NA
AK,hospitals,2001,246,853577,11,21132,1156,253,874709,NA,NA,NA,NA,NA,NA
AK,social insurance administration,2001,446,1516143,3,4340,257,448,1520483,NA,NA,NA,NA,NA,NA
AK,solid waste management,2001,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
AK,sewerage,2001,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
AK,parks and recreation,2001,84,289173,0,0,0,84,289173,NA,NA,NA,NA,NA,NA
AK,housing and community development,2001,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
AK,natural resources,2001,2077,7804129,61,60783,4541,2104,7864912,NA,NA,NA,NA,NA,NA
AK,water transport and terminals,2001,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
AK,electric power,2001,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
